"filename", "language", "JSON", "HTML", "C++", "Markdown", "YAML", "Dart", "Swift", "XML", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\utils\theme_utils.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\widgets\main_clock_widget.dart", "Dart", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 11, 63
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\lib\product\widgets\menu_drawer.dart", "Dart", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 1, 6, 86
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 4, 27
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\pubspec.yaml", "YAML", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 2, 13, 56
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 10, 7, 31
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\web\index.html", "HTML", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 16, 21, 135
"c:\Users\oguzk\Desktop\visual studio\clock_app\clock_app\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
